Druh,Popis_druhu,Ctverec,Lokalita,Lokalita_short,Text,Datum,Pocet,Substrat,Lat,Lon,Zpusob,Autor,Poznamka
Odonteus armiger,"Scopoli, 1772",5357,"Turnov, Dolánky u Turnova, ",Turnov,"Turnov, Dolánky u Turnova, 25.5.2014, 1 ♂, v bazénku u jezu, M. Průša leg., det. et coll.",2014-05-25,1 ♂,NA,NA,NA,"leg., det. et coll.",NA,NA
Odonteus armiger,"Scopoli, 1772",5359,"Jilemnice, Hrabačov, ",Jilemnice,"Jilemnice, Hrabačov, 19.9.1954, 1 ex., O. Kavan leg., RMHK coll., J. Mertlik rev.",1954-09-19,1 ex.,NA,NA,NA,NA,J. Mertlik,NA
Odonteus armiger,"Scopoli, 1772",5364,"Broumov, Rožmitál, Dlouhý vrch [Homole], ",Broumov,"Broumov, Rožmitál, Dlouhý vrch [Homole], 10.6.2014, 1 ♂, na světlo, M. Mikát leg., det. et coll. (Mikát & Ha- met 2014: 85, Hamet & Vancl 2016: 89)",2014-06-10,1 ♂,NA,NA,NA,"leg., det. et coll.",M. Mikát,NA
Odonteus armiger,"Scopoli, 1772",5463,"Police nad Metují, město, ",Police nad Metují,"Police nad Metují, město, 5.8.2013, 1 ex, UV světlo, Z. Vancl leg., det. et coll. (Hamet & Vancl 2016: 89); 27.7. 2014, 1 ex.",2013-08-05,1 ex.,NA,NA,NA,"leg., det. et coll.",NA,NA
Odonteus armiger,"Scopoli, 1772",5559,"Pecka, ",Pecka,"Pecka, 10.7.2016, 1 ex., J. Plecháč leg. et coll., V. Týr det.",2016-07-10,1 ex.,NA,NA,NA,leg. et coll.,NA,NA
Odonteus armiger,"Scopoli, 1772",5560,"Dvůr Králové nad Labem, ",Dvůr Králové nad Labem,"Dvůr Králové nad Labem, 15.7.1949, 1 ex., sběratel ne- uveden, RMHK coll., J. Mertlik rev.",1949-07-15,1 ex.,NA,NA,NA,NA,J. Mertlik,NA
Odonteus armiger,"Scopoli, 1772",5763,"Mělčany, VIII. ",Mělčany,"Mělčany, VIII. 2002, 1 ex., L. Maršík leg. (Resl 2018)",NA,1 ex.,NA,NA,NA,NA,J. Resl,NA
Odonteus armiger,"Scopoli, 1772",5858,"Kněžičky, obora Kněžičky [NPR Žehuňská obora], ",Kněžičky,"Kněžičky, obora Kněžičky [NPR Žehuňská obora], 7.6. 2001, 1 ex., M. Mikát leg. et det., RMHK coll., J. Mertlik rev.",NA,1 ex.,NA,NA,NA,NA,J. Mertlik,NA
Odonteus armiger,"Scopoli, 1772",5859,"Pravy, ",Pravy,"Pravy, 4.7.2011, 1 ex., na světlo, M. Brabec leg., det. et coll.; dtto, 11.7.2011, 2 ex.; dtto, 15.7.2011, 1 ex.; dtto, 26.7.2011, 1 ex.; dtto, 16.6.2012, 1 ex.; dtto, 7.6.2013, 1 ex.; dtto, 4.7.2013, 1 ex.; dtto, 22.6.2016, 1 ex.",2011-07-04,1 ex.,NA,NA,NA,"leg., det. et coll.",M. Brabec,NA
Odonteus armiger,"Scopoli, 1772",5861,"Hradec Králové, Kopec svatého Jana, ",Hradec Králové,"Hradec Králové, Kopec svatého Jana, 10.6.2014, 1 ♂, v lese na UV světlo, cca 21.45, J. Pelikán leg., det. et coll.; dtto, 1 ♂, cca 22.00, T. Staněk leg., det. et coll.",2014-06-10,1 ♂,NA,NA,NA,"leg., det. et coll.",D. Král,NA
Odonteus armiger,"Scopoli, 1772",5863,"Rychnov nad Kněžnou, bez data, ",Rychnov nad Kněžnou,"Rychnov nad Kněžnou, bez data, 1 ex., Plachetka leg. (Poláček 1977: 531)",NA,1 ex.,NA,NA,NA,NA,NA,NA
Odonteus armiger,"Scopoli, 1772",5863,"Rychnov nad Kněžnou, Panská Habrová, ",Rychnov nad Kněžnou,"Rychnov nad Kněžnou, Panská Habrová, 9.6.2013, 1 ex., T. Tejkalová leg., B. Mocek det., RMHK coll.",2013-06-09,1 ex.,NA,NA,NA,NA,NA,NA
Odonteus armiger,"Scopoli, 1772",5958,"Kladruby nad Labem, ",Kladruby nad Labem,"Kladruby nad Labem, 5.-12.6.2010, 1 ex., Malaise trap, B. Mocek leg. et det., RMHK coll.",2010-06-12,1 ex.,NA,NA,NA,NA,NA,NA
Odonteus armiger,"Scopoli, 1772",5959,"Přelouč, Slavíkovy ostrovy, ",Přelouč,"Přelouč, Slavíkovy ostrovy, 21.8.2000, 1 ♂, na světlo, B. Mocek leg. (Mocek & Mikát 2001: 19)",2000-08-21,1 ♂,NA,NA,NA,NA,M. Mikát,NA
Odonteus armiger,"Scopoli, 1772",5959,"Lázně Bohdaneč, sádky, ",Lázně Bohdaneč,"Lázně Bohdaneč, sádky, 9.-24.5.2016, 1 ex., Malaise trap, B. Mocek leg., M. Mikát det., RMHK coll.",2016-05-24,1 ex.,NA,NA,NA,NA,M. Mikát,NA
Odonteus armiger,"Scopoli, 1772",5960,"Lázně Bohdaneč, louka jižně od parku, ",Lázně Bohdaneč,"Lázně Bohdaneč, louka jižně od parku, 28.7.2011, 1 ex., na světlo, B. Mocek leg., M. Mikát det., RMHK coll., J. Mertlik rev.",2011-07-28,1 ex.,NA,NA,NA,NA,J. Mertlik,NA
Odonteus armiger,"Scopoli, 1772",5960,"Ráby, Kunětická hora, ",Ráby,"Ráby, Kunětická hora, 17.7.2007, 1 ex., M. Mikát leg. et det., RMHK coll., J. Mertlik rev.; 19.6.-3.7.2008, 1 ex., Malaise trap, B. Mocek leg., RMHK coll., J. Mertlik rev.",2007-07-17,1 ex.,NA,NA,NA,NA,J. Mertlik,NA
Odonteus armiger,"Scopoli, 1772",5963,"Skořenice, ",Skořenice,"Skořenice, 10.8.1952, 1 ex., K. Poláček leg., RMHK coll. (Poláček 1977: 531)",1952-08-10,1 ex.,NA,NA,NA,NA,NA,NA
Odonteus armiger,"Scopoli, 1772",5963,Choceň,Choceň,"Choceň (59-6063), 6.7.1958, 1 ex., E. Šimek leg., RMHK coll. (Poláček 1977: 531)",1958-07-06,1 ex.,NA,NA,NA,NA,NA,NA
Odonteus armiger,"Scopoli, 1772",5964,"Žamberk, VII. ",Žamberk,"Žamberk, VII. 1949, 1 ex., O. Marek leg., RMHK coll.(Poláček 1977: 531)",NA,1 ex.,NA,NA,NA,NA,NA,NA
Odonteus armiger,"Scopoli, 1772",5964,"Žamberk, jižní stráň",Žamberk,"Žamberk, jižní stráň (bývalá ovčí pastvina), 11.7.2016, 1 ♂, poletoval poblíž UV světla, J. Pelikán leg., det. et coll.",2016-07-11,1 ♂,ovčí pastvina,NA,NA,"leg., det. et coll.",J. Pelikán,pastvina)
Odonteus armiger,"Scopoli, 1772",5966,"Králíky, ",Králíky,"Králíky, 24.8.1955, 1 ex., J. Pavlů leg., RMHK coll., J. Mertlik rev.",1955-08-24,1 ex.,NA,NA,NA,NA,J. Mertlik,NA
Odonteus armiger,"Scopoli, 1772",6059,"Heřmanův Městec, bez data, ",Heřmanův Městec,"Heřmanův Městec, bez data, 1 ex., sběratel neuveden, VMČL coll., V. Týr det.",NA,1 ex.,NA,NA,NA,NA,NA,NA
Odonteus armiger,"Scopoli, 1772",6059,"Heřmanův Městec, Bažantnice",Heřmanův Městec,"Heřmanův Městec, Bažantnice (Kopecký 2009)",NA,NA,NA,NA,NA,NA,NA,NA
Odonteus armiger,"Scopoli, 1772",6060,"Chrudim, zahrada u č. p. ",Chrudim,"Chrudim, zahrada u č. p. 1410, 29.7.2017, 1 ♂, po dešti na UV světlo, V. Hron leg., det. et coll.; dtto, 24.- 26.7.2019, 1 ♂; dtto, 24.8.2019, 1 ♀.",2017-07-29,1 ♂,NA,NA,NA,"leg., det. et coll.",V. Hron,NA
Odonteus armiger,"Scopoli, 1772",6060,"Chrudim, východní okraj Vaňkových školek, ",Chrudim,"Chrudim, východní okraj Vaňkových školek, 1.8.2017, 1 ♀, na UV světlo, V. Hron leg., det. et coll.",2017-08-01,1 ♀,NA,NA,NA,"leg., det. et coll.",V. Hron,NA
Odonteus armiger,"Scopoli, 1772",6160,"Práčov, PR Strádovské peklo, jižní stráň naproti hradu Strádov, ",Práčov,"Práčov, PR Strádovské peklo, jižní stráň naproti hradu Strádov, 6.7.2018, 1 ♂, přilákán na světlo, T. Kopecký leg., det. et coll.",2018-07-06,1 ♂,NA,NA,NA,"leg., det. et coll.",NA,NA
Odonteus armiger,"Scopoli, 1772",6163,"Budislav, ",Budislav,"Budislav, 8.8.1970, 1 ex., J. Brokeš leg. (Poláček 1977: 531), V. Týr det. 28                    Faunistika druhů čeledí Geotrupidae, Scarabaeoidae a Trogidae na území východních Čech Geotrupinae Latreille, 1802 Chromogeotrupini Zunino, 1984 Typhaeus Leach, 1815 Typhaeus typhoeus (Linnaeus, 1758)",1970-08-08,1 ex.,NA,NA,NA,NA,NA,NA
Typhaeus typhoeus,"Linnaeus, 1758",5459,Martinice [v Krkonoších],Martinice [v Krkonoších],"Martinice [v Krkonoších] (5459), 30.4.1942, 1 ♂, Rákos- ník leg., V. Týr coll. (Juřena et al. 2008: 28) Poznámka. Lokálně vyhynulý. Jeho nejbližší recentní lokality se nachází v severních Čechách v Českém Švýcarsku. Geotrupini Latreille, 1802 Anoplotrupes Jekel, 1866 Anoplotrupes stercorosus (Scriba, 1791)",1942-04-30,1 ♂,NA,NA,NA,NA,NA,NA
Anoplotrupes stercorosus,"Scriba, 1791",5258,"Harrachov, VII. ",Harrachov,"Harrachov, VII. 1952, 3 ex., J. Ecler leg., OMVH coll., J. Mertlik rev.",NA,3 ex.,NA,NA,NA,NA,J. Mertlik,NA
Anoplotrupes stercorosus,"Scriba, 1791",5259,"Krkonoše, Pomezní bouda, VII. ",Krkonoše,"Krkonoše, Pomezní bouda, VII. 1976, 1 ex., J. Soustruž- ník leg., V. Týr det. et coll.",NA,1 ex.,NA,NA,NA,"leg., det. et coll.",NA,NA
Anoplotrupes stercorosus,"Scriba, 1791",5259,"Krkonoše, Špindlerův Mlýn, ",Krkonoše,"Krkonoše, Špindlerův Mlýn, 9.7.2004, 1 ex., A. Novák- ová leg., J. Resl coll. (Resl 2018)",2004-07-09,1 ex.,NA,NA,NA,NA,J. Resl,NA
Anoplotrupes stercorosus,"Scriba, 1791",5260,"Krkonoše, Pec pod Sněžkou, Modrý důl, pastvina",Krkonoše,"Krkonoše, Pec pod Sněžkou, Modrý důl, pastvina (50.7124039N, 15.7142433E), 24.6.2019, 3 ex., Ovis, J. Mertlik observ.",2019-06-24,3 ex.,NA,50.7124039,15.7142433,observ.,J. Mertlik,pastvina (50.7124039N
Anoplotrupes stercorosus,"Scriba, 1791",5260,"Krkonoše, Malá Úpa, VII. ",Krkonoše,"Krkonoše, Malá Úpa, VII. 1976, 1 ex., J. Soustružník leg., V. Týr det. et coll.",NA,1 ex.,NA,NA,NA,"leg., det. et coll.",NA,NA
Anoplotrupes stercorosus,"Scriba, 1791",5360,"Krkonoše, Jánské Lázně, V. ",Krkonoše,"Krkonoše, Jánské Lázně, V. 1964, 1 ex., J. Wagner leg., ZMMP coll., V. Týr det.",NA,1 ex.,NA,NA,NA,NA,NA,NA
Anoplotrupes stercorosus,"Scriba, 1791",5360,"Krkonoše, Velká Úpa, ",Krkonoše,"Krkonoše, Velká Úpa, 18.6.1982, 1 ex., R. Dunda leg., det. et coll.; 27.7.1984, 2 ex., J. Plecháč leg. et coll., V. Týr det.",1982-06-18,1 ex.,NA,NA,NA,leg. et coll.,NA,NA
Anoplotrupes stercorosus,"Scriba, 1791",5362,"Horní Adršpach, Krčmov, pastvina",Horní Adršpach,"Horní Adršpach, Krčmov, pastvina (50.6182653N, 16.0644956), 1.6.2019, 1 ex., pastvina u okraje lesa, Bos, J. Mertlik leg. et coll.",2019-06-01,1 ex.,NA,50.6182653,NA,leg. et coll.,J. Mertlik,pastvina (50.6182653N
Anoplotrupes stercorosus,"Scriba, 1791",5363,"Hejtmánkovice, Hynčická olšina",Hejtmánkovice,"Hejtmánkovice, Hynčická olšina (5363d), 23.6.2003, 3 ex., zemní past, J. Spíšek leg., Z. Vancl det. et coll. (Hamet & Vancl 2016); dtto, VIII. 2003, 1 ex., zemní past, J. Spíšek leg., Z. Vancl det. et coll. (Hamet & Vancl 2016); dtto, 6.7.2003, 1 ex., zemní past, J. Spíšek leg., Z. Vancl det. et coll. (Hamet & Vancl 2016)",2003-06-23,3 ex.,NA,NA,NA,"leg., det. et coll.",NA,NA
Anoplotrupes stercorosus,"Scriba, 1791",5363,Vižňov,Vižňov,"Vižňov (5363a/c), 15.-30.7.1992, 1 ex., zemní past, údolí potoka se smíšeným lesem, J. Růžička leg., detr. et coll.",1992-07-30,1 ex.,NA,NA,NA,NA,NA,NA
Anoplotrupes stercorosus,"Scriba, 1791",5363,"Bohdašín, Mořská transgrese",Bohdašín,"Bohdašín, Mořská transgrese (5363c), bez data (Hamet & Vancl 2016)",NA,NA,NA,NA,NA,NA,NA,NA
Anoplotrupes stercorosus,"Scriba, 1791",5456,"Turnov, ",Turnov,"Turnov, 24.9.1994, 1 ex., M. Průša leg., det. et coll.",1994-09-24,1 ex.,NA,NA,NA,"leg., det. et coll.",NA,NA
Anoplotrupes stercorosus,"Scriba, 1791",5456,"Vyskeř, Skalany, Turnov, ",Vyskeř,"Vyskeř, Skalany, Turnov, 2.8.1997, 1 ex., M. Průša leg., det. et coll.",1997-08-02,1 ex.,NA,NA,NA,"leg., det. et coll.",NA,NA
Anoplotrupes stercorosus,"Scriba, 1791",5456,"Kacanovy, ",Kacanovy,"Kacanovy, 17.9.2006, 1 ex., M. Průša leg., det. et coll.",2006-09-17,1 ex.,NA,NA,NA,"leg., det. et coll.",NA,NA
Anoplotrupes stercorosus,"Scriba, 1791",5462,"Radvanice, Paseka",Radvanice,"Radvanice, Paseka (5462a), 25.6.1998, 2 ex., A. Hamet leg., det. et coll. (Hamet & Vancl 2016); 9.9.2002, 4 ex., zemní past, A. Hamet leg., det. et coll. (Hamet & Vancl 2016) Elateridarium 14: 15-147, 2020                                                                                             29",1998-06-25,2 ex.,NA,NA,NA,"leg., det. et coll.",NA,NA
Anoplotrupes stercorosus,"Scriba, 1791",5462,"Horní Vernéřovice, Janovická niva",Horní Vernéřovice,"Horní Vernéřovice, Janovická niva (5462b), 5.6.2003, 1 ex., zemní past, A. Hamet leg. et coll., Z. Vancl det. (Hamet & Vancl 2016)",2003-06-05,1 ex.,NA,NA,NA,leg. et coll.,NA,NA
